Player,Team,Batter_Confidence,Bowler_Confidence,Fielder_Confidence,AllRounder_Confidence,Wicketkeeper_Confidence
Sam Sabharwal,Windsor Tigers CC,0.9597442,,,,
Naveen Burugupalli,Super Chargers,0.9597442,,,,
Jaipal Singh,Windsor Tigers CC,0.9597442,,,,
Viraj Patel,WEUnited CC,,0.97908574,,,
Vijaya Bhaskara Reddy Marri,Trophy Fighters,,0.97908574,,,
Kapil Nain,Windsor Royals CC,,0.97908574,,,
Dhairya Bhatt,Windsor Warriors,,0.97908574,,,
Sam Sabharwal,Windsor Tigers CC,,,0.96650845,,
Maurice Crosdale,Cavaliers CC of Windsor,,,0.96650845,,
sai charan,Trophy Fighters,,,,0.88897187,
Sam Sabharwal,Windsor Tigers CC,,,,,0.87893623
